dataset,NumberOfInstances,NumberOfFeatures,NumberOfClasses,MajorityClassSize,MinorityClassSize,MajorityClassPercentage,MinorityClassPercentage,MeanMeansOfNumericAtts,MeanStdDevOfNumericAtts,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanAttributeEntropy,NoiseToSignalRatio,IQA_MeanBrightness,IQA_MeanContrast
KADID10k_Dist07,405,8,5,81,81,20.0,20.0,113.86542535277174,0.8676281428884545,,,11.550218680944983,0.3773753701593917,0.5164680411541152,0.2153597412781109
KADID10k_Dist08,405,8,5,81,81,20.0,20.0,113.9918868753617,0.8126639547621612,,,12.53005797934762,0.4370138620242187,0.4343570974773751,0.2005745938582657
KADID10k_Dist09,405,8,5,81,81,20.0,20.0,114.30627611343228,0.5460960784142368,,,15.273041112160714,0.43166896498872,0.4480940655222228,0.2032834759168219
KADID10k_Dist10,405,8,5,81,81,20.0,20.0,113.79973665656276,0.7717570368073294,,,11.275253499231471,0.4380344104273677,0.4480052138124809,0.2062054883955368
KADID10k_Dist11,405,8,5,81,81,20.0,20.0,114.5081729854914,0.3848603370572027,,,17.11571458931698,0.4520788427701665,0.4484053398579733,0.2115181066437491
KADID10k_Dist12,405,8,5,81,81,20.0,20.0,114.4991079576254,0.3997670953624657,,,17.015672408493444,0.4494928417718517,0.4483891983949896,0.2105707386814465
KADID10k_Dist13,405,8,5,81,81,20.0,20.0,114.26383095721928,0.5508355579512172,,,15.081788469684774,0.449676578687206,0.448454346025425,0.2109282655065177
KADID10k_Dist14,405,8,5,81,81,20.0,20.0,114.47984943811542,0.4423867441997218,,,16.79325219857714,0.4543992211814711,0.4462784486378152,0.2113552158592999
KADID10k_Dist15,405,8,5,81,81,20.0,20.0,114.51670480326872,0.4208694030073118,,,16.885984614110654,0.3937647605084335,0.4477912130083761,0.1829373356952316
KADID10k_Dist16,405,8,5,81,81,20.0,20.0,114.31975373462058,2.0290267823175823,,,13.81516770405918,0.313622962195808,0.6211224047626787,0.2188982611010822
KADID10k_Dist17,405,8,5,81,81,20.0,20.0,114.2440356768644,1.5736802910103085,,,13.601713069351128,0.58422819556914,0.3378023155498962,0.2028566799793141
KADID10k_Dist18,405,8,5,81,81,20.0,20.0,114.15622087812076,0.625715940919966,,,14.346025691191931,0.4807912832326533,0.4442296258246616,0.2241623482371567
KADID10k_Dist19,405,8,5,81,81,20.0,20.0,114.29842907932608,0.5555273089605203,,,14.84920121605419,0.3649828015522527,0.4580015115815256,0.1746750089145104
KADID10k_Dist20,405,8,5,81,81,20.0,20.0,114.25461392956596,0.5710107293598727,,,14.952347671083675,0.4415773715198055,0.4477782237576949,0.2079260818095039
KADID10k_Dist21,405,8,5,81,81,20.0,20.0,114.1561161106368,0.5602179737093795,,,14.1649708807623,0.4415690548870185,0.4481934090493481,0.2079716200109064
KADID10k_Dist22,405,8,5,81,81,20.0,20.0,113.1986675013963,0.5391897540806175,,,6.418561219059178,0.4312588208029745,0.4778370354662128,0.2170492940494323
KADID10k_Dist23,405,8,5,81,81,20.0,20.0,114.22401353777752,0.5420953807673681,,,14.776271227444605,0.4454907558455821,0.4492941669679222,0.2094512703336493
KADID10k_Dist24,405,8,5,81,81,20.0,20.0,113.91579477533436,0.6250566275564957,,,13.03253841756562,0.5936761120581172,0.4632017455418135,0.2916809716551094
KADID10k_Dist25,405,8,5,81,81,20.0,20.0,114.18322417632382,0.7225724642864827,,,14.19292023050586,0.4456114104317525,0.4451172183133324,0.2221405988662003
TID2013_Dist01,125,8,5,25,25,20.0,20.0,114.61526327910032,0.5561115809735705,,,17.03307825719504,0.4484762980980669,0.4348580573998066,0.2002966110807187
TID2013_Dist02,125,8,5,25,25,20.0,20.0,114.64519977742196,0.6233436182029126,,,17.03774943844857,0.4408233047886504,0.4349409208426841,0.1975261013941557
TID2013_Dist03,125,8,5,25,25,20.0,20.0,114.6157251810644,0.5573895007247247,,,17.03155479609449,0.4483958199577577,0.434868533804413,0.2002673766629869
TID2013_Dist04,125,8,5,25,25,20.0,20.0,114.54479201487014,0.6402410912259655,,,16.36081521056816,0.4469862388643145,0.4350977551687124,0.1999225986339839
TID2013_Dist05,125,8,5,25,25,20.0,20.0,114.57938201157732,0.5169591273889551,,,17.033873389316526,0.460873482693227,0.4354979605114985,0.2056314721240526
TID2013_Dist06,125,8,5,25,25,20.0,20.0,114.10109228424292,0.6902781733810026,,,12.756075361280738,0.4419514322662889,0.4369808866447578,0.1987495569810205
TID2013_Dist07,125,8,5,25,25,20.0,20.0,113.0150255063226,0.6931223969669524,,,4.246796428603438,0.4466108338532985,0.4344720357170235,0.2001642823696389
TID2013_Dist08,125,8,5,25,25,20.0,20.0,114.3448978368598,0.831019696232144,,,14.233739465218788,0.4100686465463948,0.433322808717767,0.1832182249479381
TID2013_Dist09,125,8,5,25,25,20.0,20.0,114.55472481507675,0.7783994244245654,,,15.895740035437202,0.3929788372558415,0.4376048586596999,0.1803577044480415
TID2013_Dist10,125,8,5,25,25,20.0,20.0,113.885131488287,0.9905782051821472,,,10.82062029468818,0.4348077690988271,0.4356089711420515,0.1952226494364692
TID2013_Dist11,125,8,5,25,25,20.0,20.0,114.41844831123676,0.845106024634438,,,14.872903930019984,0.4205514434440736,0.436001402041606,0.1905467016726039
TID2013_Dist12,125,8,5,25,25,20.0,20.0,114.25267748826276,0.6916564452370935,,,13.859427549355958,0.4385421890490068,0.4356473307314485,0.1968591225219343
TID2013_Dist13,125,8,5,25,25,20.0,20.0,114.4765967792687,0.5787014026288945,,,15.920264220542128,0.4485230301722345,0.4356796515302671,0.2006961631119544
TID2013_Dist14,125,8,5,25,25,20.0,20.0,114.08557790631316,0.7853324951542268,,,12.389172261261486,0.439724481814157,0.4349154499608577,0.1975009950963184
TID2013_Dist15,125,8,5,25,25,20.0,20.0,114.05453776085427,0.722890857717037,,,12.266252595051087,0.4320863046327154,0.4362581313318748,0.1947156119250811
TID2013_Dist16,125,8,5,25,25,20.0,20.0,114.03817121312322,0.8238223206828457,,,12.196482766798384,0.4537462091415962,0.4151494641649274,0.1936037776256109
TID2013_Dist17,125,8,5,25,25,20.0,20.0,114.07619609158382,0.8414668591868268,,,12.190325488050629,0.3660882943479898,0.4329553346588094,0.1827614212375995
TID2013_Dist18,125,8,5,25,25,20.0,20.0,113.87284941183384,0.7914093132994162,,,10.718249535537442,0.4357193290117729,0.4351610996039337,0.1960664102241382
TID2013_Dist19,125,8,5,25,25,20.0,20.0,114.60412432705164,0.6163341799620181,,,16.798101217712972,0.4467328508923552,0.4333609849398585,0.1988941415250783
TID2013_Dist20,125,8,5,25,25,20.0,20.0,114.2718434004398,0.712452256355847,,,13.97441952530454,0.4378526327215469,0.4351564482134492,0.1966761474065851
TID2013_Dist21,125,8,5,25,25,20.0,20.0,114.44358908567712,0.6954336773700465,,,15.3715685411884,0.4182672244998433,0.4363527780438113,0.1897528676987589
TID2013_Dist22,125,8,5,25,25,20.0,20.0,113.01589140322442,0.7691428858062741,,,4.053272888777369,0.4282798568444194,0.4362726214122976,0.1934652392865219
TID2013_Dist23,125,8,5,25,25,20.0,20.0,114.50008697027432,0.9003563096682079,,,15.532408796474575,0.4190994527783084,0.435262088384539,0.1908636823431178
TID2013_Dist24,125,8,5,25,25,20.0,20.0,114.23275200859727,0.7808527832629705,,,13.466803123773632,0.4154683923630091,0.4351557868506976,0.188953655769926
